id,affiliation_proportion,aggression_proportion,alone_proportion,approach_proportion,avoidance_proportion,dominance_proportion,exploration_proportion,locomotion_proportion,neutral_proportion,passive_contact_proportion,sdb_proportion,submission_proportion,vigilance_proportion,vocalisation_proportion
M020,0.126,0.026,0.664,0,0,0,0.1,0.199,0.127,0.308,0.17,0,0.2,0.019
M035,0,0.002,0.838,0,0.007,0,0.248,0.319,0.03,0.095,0.049,0.059,0.187,0.061
M041,0.052,0.093,0.64,0,0,0.004,0.194,0.382,0.005,0.128,0.074,0.007,0.134,0.029
M044,0.008,0.081,0.555,0,0.001,0.006,0.227,0.199,0,0.088,0.019,0.027,0.292,0.001
M053,0.068,0.09,0.483,0,0,0.001,0.207,0.214,0.165,0.297,0.096,0,0.159,0
M062,0.2,0.109,0.365,0,0.002,0.022,0.059,0.204,0.002,0.011,0.061,0.004,0.143,0
M077,0.332,0.049,0.624,0,0.008,0,0.006,0.119,0.129,0.123,0.31,0.007,0.164,0.004
M098,0.24,0.038,0.763,0,0,0.007,0.055,0.148,0.172,0.024,0.212,0,0.309,0.035
M103,0,0.196,0.53,0,0,0.017,0.164,0.282,0,0.156,0.04,0.029,0.231,0.012
M138,0.064,0.092,0.626,0,0,0.008,0.364,0.183,0.036,0.357,0.138,0.027,0.173,0
M165,0.027,0.029,0.76,0,0,0.01,0.044,0.23,0.149,0.053,0.075,0.015,0.411,0
M166,0.1,0.037,0.76,0,0.005,0.007,0.174,0.094,0.243,0.094,0.064,0.014,0.248,0.008
M197,0,0,0.962,0,0.005,0,0.105,0.086,0.055,0,0.02,0.022,0.697,0
M002,0,0,0.763,0.005,0.015,0,0.172,0.241,0.26,0.321,0.024,0,0.196,0
M006,0.007,0.001,0.541,0.009,0.051,0.002,0.286,0.154,0.326,0.47,0.039,0.001,0.181,0.001
M013,0,0.004,0.528,0.005,0.42,0.005,0.535,0.201,0.116,0.375,0.004,0,0.054,0
M027,0.393,0.012,0.07,0.005,0.015,0.004,0.08,0.04,0.159,0.872,0.122,0,0.193,0.005
M042,0.273,0.006,0.256,0.006,0.017,0.003,0.307,0.072,0.115,0.355,0.062,0.001,0.153,0.001
M059,0.003,0.007,0.649,0.005,0.041,0.001,0.355,0.141,0.152,0.134,0.031,0.001,0.125,0.001
M075,0.191,0.007,0.389,0.008,0.025,0.004,0.165,0.086,0.299,0.591,0.058,0.001,0.176,0.002
M078,0.005,0.007,0.591,0.004,0.096,0.001,0.28,0.177,0.207,0.364,0.04,0.007,0.263,0
M011,0.137,0.027,0.358,0.011,0.04,0.008,0.338,0.101,0.073,0.494,0.047,0.005,0.243,0.008
